Trimestre,Categoria,Tipo,Evento,DataInicio,DataFim,Cor,Subtipo,Bloco-Contrato
Trim 2,Prazos Contratuais ANP,,Término,2030-05-30 00:00:00,,00FF00,Prazos Contratuais ANP,ÁGUA-MARINHA-ÁGUA-MARINHA_OPP1
Trim 2,Prazos Contratuais ANP,,Término,2030-05-30 00:00:00,,00FF00,Prazos Contratuais ANP,NORTE DE BRAVA-NORTE DE BRAVA_OPP1
Trim 2,Prazos Contratuais ANP,,Término,2030-05-30 00:00:00,,00FF00,Prazos Contratuais ANP,SUDOESTE DE SAGITÁRIO-SUDOESTE DE SAGITÁRIO_OPP1
Trim 2,Prazos Contratuais ANP,,Término,2057-04-27 00:00:00,,00FF00,Prazos Contratuais ANP,ATAPU_ECO-ATAPU_ECO
Trim 2,Prazos Contratuais ANP,,Término,2057-04-27 00:00:00,,00FF00,Prazos Contratuais ANP,SÉPIA_ECO-SÉPIA_ECO
Trim 2,Sísmica,,0327_3D_4D_ALBACORA_MARLIM_VOADOR,2021-06-17 00:00:00,2023-09-21 00:00:00,0000FF,0327_3D_4D_ALBACORA_MARLIM_VOADOR,ALBACORA-ALBACORA
Trim 2,Sísmica,,0327_3D_4D_ALBACORA_MARLIM_VOADOR,2021-06-17 00:00:00,2023-09-21 00:00:00,0000FF,0327_3D_4D_ALBACORA_MARLIM_VOADOR,MARLIM-MARLIM
Trim 2,Sísmica,,0327_3D_4D_ALBACORA_MARLIM_VOADOR,2021-06-17 00:00:00,2023-09-21 00:00:00,0000FF,0327_3D_4D_ALBACORA_MARLIM_VOADOR,VOADOR-VOADOR
Trim 2,Sísmica,,3D_NODES_BUZIOS _VEL_REGRID,2021-04-14 00:00:00,2021-04-30 00:00:00,0000FF,3D_NODES_BUZIOS _VEL_REGRID,BÚZIOS_ECO-BÚZIOS_ECO
Trim 2,Sísmica,,3D_NODES_BUZIOS _VEL_REGRID,2021-04-14 00:00:00,2021-04-30 00:00:00,0000FF,3D_NODES_BUZIOS _VEL_REGRID,BÚZIOS-CESSÃO ONEROSA
Trim 2,Sísmica,,AG - Albacora Marlim Voador Streamer,2019-05-29 00:00:00,2022-05-03 00:00:00,0000FF,AG - Albacora Marlim Voador Streamer,ALBACORA-ALBACORA
Trim 2,Sísmica,,AG - Albacora Marlim Voador Streamer,2019-05-29 00:00:00,2022-05-03 00:00:00,0000FF,AG - Albacora Marlim Voador Streamer,MARLIM-MARLIM
Trim 2,Sísmica,,AG - Albacora Marlim Voador Streamer,2019-05-29 00:00:00,2022-05-03 00:00:00,0000FF,AG - Albacora Marlim Voador Streamer,VOADOR-VOADOR
Trim 2,Sísmica,,"AG - Atapu, Berbigão, Sururu (ABS) Nodes",2019-05-17 00:00:00,2023-09-14 00:00:00,0000FF,"AG - Atapu, Berbigão, Sururu (ABS) Nodes",ATAPU-CESSÃO ONEROSA
Trim 2,Sísmica,,AG - Bloco PAR-T-175 Vibroseis,2019-04-08 00:00:00,2021-05-06 00:00:00,0000FF,AG - Bloco PAR-T-175 Vibroseis,PAR-T-175-PAR-T-175_R14
Trim 2,Sísmica,,AG - Lula Full-Field Nodes,2019-04-04 00:00:00,2022-07-28 00:00:00,0000FF,AG - Lula Full-Field Nodes,TUPI-BM-S-11
Trim 2,Sísmica,,"AG - Marlim Leste, Marlim Sul, Barracuda, Caratinga Híbrida",2019-06-14 00:00:00,2024-11-25 00:00:00,0000FF,"AG - Marlim Leste, Marlim Sul, Barracuda, Caratinga Híbrida",CARATINGA-CARATINGA
Trim 2,Sísmica,,"AG - Marlim Leste, Marlim Sul, Barracuda, Caratinga Híbrida",2019-06-14 00:00:00,2024-11-25 00:00:00,0000FF,"AG - Marlim Leste, Marlim Sul, Barracuda, Caratinga Híbrida",MARLIM LESTE-MARLIM LESTE
Trim 2,Sísmica,,"AG - Marlim Leste, Marlim Sul, Barracuda, Caratinga Híbrida",2019-06-14 00:00:00,2024-11-25 00:00:00,0000FF,"AG - Marlim Leste, Marlim Sul, Barracuda, Caratinga Híbrida",MARLIM SUL-MARLIM SUL
Trim 2,Sísmica,,AG - Sagitário Nodes,2019-05-01 00:00:00,2024-12-02 00:00:00,0000FF,AG - Sagitário Nodes,1-SPS-98-BM-S-50
Trim 2,Sísmica,,AG - Sapinhoá Nodes,2019-05-31 00:00:00,2021-08-09 00:00:00,0000FF,AG - Sapinhoá Nodes,SAPINHOÁ-BM-S-9
Trim 2,Sísmica,,AG - Sépia - Nodes,2019-05-01 00:00:00,2024-03-05 00:00:00,0000FF,AG - Sépia - Nodes,SÉPIA_ECO-SÉPIA_ECO
Trim 2,Sísmica,,AG - Sépia - Nodes,2019-05-01 00:00:00,2024-03-05 00:00:00,0000FF,AG - Sépia - Nodes,SÉPIA-CESSÃO ONEROSA
Trim 2,Sísmica,,Foz - Trat. de CRP´s Pós-Migração DHI (Tucano-Batuque),2021-06-10 00:00:00,2022-02-04 00:00:00,0000FF,Foz - Trat. de CRP´s Pós-Migração DHI (Tucano-Batuque),FZA-M-57-FZA-M-57_R11
